State,Description,Plate Image,Source
CA,California - Disabled Veteran License Plates,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/DVautocoml.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Environmental,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/elp_150.jpg),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,California - Environmental - Motorcycle,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/elp_mc113.jpg),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,California - Exempt - New ,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/exemptnew.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Exempt  - Script with octagon,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/exemptoctagonscript.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Exempt - Script,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/exemptscript.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - FIREFIGHTERS - Motorcycle,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/firefighter_mc.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,California - FIREFIGHTERS,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/fireT_150.jpg),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,California - Foreign Organization,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/foreignorg.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Gold Star Family,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/goldstar.jpg),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Historical Vehicles,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/histvehicle.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Honorary Consul Corps,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/honconsulsun.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Horseless Carriages,![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/horselesscarrag.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,California - Prorate Plate (no longer in circulation),![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/IRPbaseplt.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/)
CA,"California - Have A Heart, Be A Star, Help Our KIDS - Motorcycle",![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/kids_heart_mc.gif),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
CA,"California - Have A Heart, Be A Star, Help Our KIDS",![Plate](https://keegan-beautiful-public-data.s3.amazonaws.com/license-plates/CA/kidsT_150.jpg),[Source](https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/)
